,Brand,Color,Age Range (Description),Special Feature,Weight Limit,Number of Wheels,Model Name,Wheel Material,Frame Material,Item Weight,Handlebar Type,Handle Height,Wheel Size,Wheel Type,Suspension Type,Grip Type,Brake Style,Warranty Type,Charging Time,Product Dimensions,null,Item Package Dimensions L x W x H,Package Weight,Brand Name,Warranty Description,Material,Suggested Users,Manufacturer,Part Number,Style,Included Components,Size,Sport Type,Price,Product Name,Product Rating,Recommended Uses For Product,Package Dimensions,Country of Origin,ASIN,Item model number,Batteries,Best Sellers Rank,Customer Reviews,Department,Number of Items,Item Dimensions LxWxH,Model Year,Team Name,Hand Orientation,Grip Size,Batteries required,Import,Skill Level,Deck Length,Deck Width,Load Capacity,Rotation Direction,Number Of Items,Bike Type,Manufacturer recommended age,Vehicle Service Type,Pattern,Mounting Type,Strap Type,Capacity,Closure Type,Handle Type,Shell Type,Power Source,Resistance Mechanism,Maximum Weight Recommendation,Maximum Height,Minimum Height,Number of Resistance Levels,Number of Pieces,Exterior Finish,Handle Material,Unit Count,Theme,Is Discontinued By Manufacturer,Release date,Maximum height recommendation,Material Type,Additional product features
31,Populo,Black3,Adult,,36.4 Pounds,2,PES350B,Rubber,Aluminum,28.3 Pounds,Adjustable,,8.5 Inches,350W wheels,,,Front Braking,,,,,,,Populo,1 year,Aluminum,Unisex-adult,"Shenzhen Elite Electronic Co., Ltd.",,Casual,Scooter,,,239,Folding Electric Scooter for Adults with 350W Motor - 8.5” Pneumatic Tires - Up to 14.5 Miles & 15 MPH Portable Folding Commuting Electric Scooter with Double Braking System…,& FREE Shipping,,,,,,,,,,,19.6 x 44 x 7 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,ANHAO,Black,Toddler,"Light Up Wheel, Adjustable Handlebar Height",110 Pounds,2,E9,Polyurethane,,,Adjustable,31.8 Inches,6 Inches,Solid,Dual Suspension,,Rear Braking,,,,,27 x 11.5 x 6.5 inches,5.51 Kilograms,ANHAO,1-year warranty,ABS,Unisex-KIDS,ANHAO,,,"CHARGER, SCOOTER, USER MANUAL, TOOLS",,,109,"ANHAO Electric Scooter for Kids Ages 8-12, Kids Electric Scooter with Adjustable Height and Speed, Anti-Slip Deck, Flash Wheel, Kick Scooter for Kids up to 110 lbs, 6 Mph Safe Speeds for Children",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Hiboy,Black,Adult,"Lights, Foldable",220 Pounds,2,S2 Pro,Aluminum,Aluminum,35.9 Pounds,Foldable,47.6 Inches,10 Inches,Solid,Rear Suspension,Foldable,"Front Braking, Rear Braking",Limited,8 Hours,"45.3""L x 16.5""W x 47.6""H",25.6 Miles,46.46 x 21.85 x 7.28 inches,19.75 Kilograms,Hiboy,12-month or 6-month warranty for different parts,Aluminum,unisex-adult,Freeman IT Limited,S2 Pro,S2 Pro,electric scooter,,electric scooter,649,"Hiboy S2 Pro/MAX Pro Electric Scooter, 500W Motor, 10""-11"" Tires, 25.6/46.6 Miles Range, 19/22 Mph Folding Commuter Electric Scooter for Adults (Optional Seat)",& FREE Shipping,,,,,,,,,,1,,2022,electric scooter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,EVERCROSS,Black Pink,Kid,"Lights, Lightweight, Foldable",132 Pounds,2,EV06C,Rubber,,22 Pounds,Adjustable,37 Inches,6.5 Inches,6.5-inch Solid Tires,,,Front Braking,,3 Hours,"14.6""L x 5.5""W x 37""H",5 Miles,33.7 x 12.7 x 7 inches,10.98 Kilograms,EVERCROSS,2 year manufacturer,Aluminum,unisex-child,"Zhejiang Kuantu Industry and Trade Co., Ltd.",EV06C,Electric Scooter,1,,Electric Scooter,189,"EVERCROSS EV06C Electric Scooter, Foldable Electric Scooter for Kids Ages 6-12, Up to 9.3 MPH & 5 Miles, LED Display, Colorful LED Lights, Lightweight Kids Electric Scooter",4.2,,,,,,,,,,1,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Gotrax,BLACK,Adult,"Adjustable Handlebar Height, Foldable, Detachable Seat",264 Pounds,2,Eclipse Ultra Saddle,Rubber,Aluminum,59 Pounds,Adjustable,,10 Inches,Pneumatic,Dual Suspension,,Double Drum Brake+EABS,Limited,,,32 Mils,48.5 x 23.4 x 8 inches,32.66 Kilograms,Gotrax,180 Day Limited Warranty,Aluminum,unisex-adult,"ZHE JIANG TAOTAO VEHICLES CO. ,LTD",,Ultra 32miles with Seat,"User Manual, Scooter, Charger",,,849,"Gotrax Eclipse Series Electric Scooter, 10"" Pneumatic Tire, Max 28(Ultra 32) Miles and 36V(Ultra 48V) 500W Motor up 20mph, Front (Ultra Double) Suspension and Double Brake, Foldable Escooter Adult",,,,,,,,,,,,48.7 x 21.8 x 47.5 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Razor,Blue,Kid,Non Slip Deck,120 Pounds,2,Power Core E100 Aluminum Deck,Polyurethane,Aluminum,24.9 Pounds,The height of the handlebars is not adjustable,892 Millimeters,8 Inches,Pneumatic,"Hand-operated,caliper, front",Foam,"Hand-operated,caliper, front",90-day Warranty,6 Hours,"33.7""L x 35""W x 16.5""H",11 Miles,34.5 x 16.9 x 8.1 inches,13.54 Kilograms,Razor,90 Days,"plastic, Aluminum",unisex-teen,"Razor USA, LLC",13111293,Aluminum Deck,Power Core E100 Aluminum Deck,One Size,Outdoor Lifestyle,209,"Razor Power Core E100 Electric Scooter for Kids Ages 8+ - 100w Hub Motor, 8"" Pneumatic Tire, Up to 11 mph and 60 min Ride Time, for Riders up to 120 lbs",4.3,,,,,,,,,,1,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,VOLPAM,Gray,Adult,Wide Platform,120 Kilograms,2,SP06,Rubber,Aluminum,34.8 Pounds,Fixed,43.3 Inches,8.5 Inches,Solid,No,,Front Braking,Limited,5 Hours,,19 Miles,43.65 x 20.75 x 6.15 inches,15.88 Kilograms,VOLPAM,1 year warranty,Aluminum,Unisex-adult,"Yongkang Moxi Technology Co.,Ltd",SP06,Sports Outdoors Riding,"Electric scooter, User manual",Large,,379,"VOLPAM SP06 Electric Scooter, 8.5"" Solid Tires, 19 Mph Top Speed, Up to 19 Miles Long-Range, Portable Folding Commuting Scooter for Adults, with Double Braking System and App",4.0,Commuting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Wheelspeed,Silver,Adult,Foldable,220 Pounds,2,Primer,Rubber,Aluminum,28.2 Pounds,,,8.5 Inches,Pneumatic,Dual Suspension,,Front Braking,Limited,3.5 Hours,,12.4 Miles,43 x 19 x 7.25 inches,15.9 Kilograms,Wheelspeed,One-year or 180-day for different parts,Aluminum,Unisex-adult,"Shenzhen Pinxing New Energy Technology Co., Ltd.",Primer,,"User Manual, Charger",,,329,"Wheelspeed Electric Scooter Primer, 12-14 Miles Long Range & 15 MPH Lightweight Commuting Electric Scooter, 350W Motor & 8.5"" Pneumatic Tires Portable E-Scooter for Adults with Anti-Theft E-Lock",4.7,,,,,,,,,,,41 x 6.7 x 42 inches,2023,"Shenzhen Pinxing New Energy Technology Co., Ltd.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,IScooter,Black,Adult,"Dual Braking System, Lightweight, Cruise Control, Brighter lights, Foldable",264 Pounds,2,E9PRO,Rubber,Aluminum,26 Pounds,Fixed,,8.5 Inches,Pneumatic,,Ergonomic,Double Braking system,Limited,,,18 Miles,43.75 x 21 x 6.5 inches,14.22 Kilograms,IScooter,"iScooter Warranty At iScooter , the electric scooters come with a One-year for the E-scooter or 180-day for different parts (like the motor and battery) warranty that is non-transferable after the product’s initial sale. iScooter electric scooter offers 7-day no-reason return on condition that there is no human damage and no stains. If shipping damage occurs, please contact us vip.support@iscooterglobal.com and provide us with photo or video proof. iScooter is committed to providing quality items and service.",Aluminum,Unisex-adult,"Wuyi Jinyue Engine Science and Technology Co., Ltd.",E9PRO,I9,"Electric scooter, Electric scooter charger",,,339,"iScooter Electric Scooter, 8.5 Inch Solid Tire, 18Miles Travel Range, 350W E Scooter 15.6 Mph with Smart APP, Double Braking Systems for Adults and Teens",& FREE Shipping,Commuting,,,,,,,,,1,43 x 5.99 x 21 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,COFANSON,Black,Adult,"Digital Display, Dual Braking System, Adjustable Handlebar Height, Foldable, 50MPH",550 Pounds,2,T88PLUS,Alloy Steel,,105 Pounds,,52 Inches,11 Feet,Pneumatic,Dual Suspension,,"Front Braking, Rear Braking",Limited,6 Hours,"47""L x 24""W x 52""H",60 Miles,,112 Pounds,COFANSON,180 Days,Alloy Steel,unisex-adult,"Dongguan luxiangte Vehicle Industry Co., Ltd.",,T88PLUS 33Ah 60Miles,,Large,Cycling,"1,498","Adults Electric Scooter, Max Speed 50 MPH, 60V5600W High Power Dual Motor,Up to 60Miles Range Battery, 11 Inch Pneumatic Off-Road Tires with Detachable Seat for Daily Commuting, Off-Road",4.2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,KIMI,Blue,Toddler,Lightweight,120 Pounds,3,"KIMI2, HL-Q25",Rubber,Alloy Steel,10 Pounds,,,3 Inches,Pneumatic,,,,,2 Hours,"25.2""L x 13.2""W x 32.6""H",,28.5 x 14 x 7.5 inches,6.58 Kilograms,KIMI,,,,Kimi,"KIMI2, HL-Q25",,,,,179,"Kimi 3 Wheel Electric Scooter for Kids and Toddlers Ages 2-9, Premium Front Light and Wheel Lights, Boys and Girls, Safe Kick Lightup, Folding EScooter, 10 Miles Range",4.3,,,,,,,,,,,,2023,No team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,SMOOSAT,Yellow,Kids,"Adjustable Handlebar Height, Foldable",132 Pounds,2,apex,Rubber,Aluminum,,Adjustable,,6 Inches,Solid,,,Rear Braking,,,,,30.6 x 11.75 x 6.4 inches,7.33 Kilograms,SMOOSAT,180-day warranty,Aluminum,unisex-teen,SMOOSAT,,,"Charger, 180-day Warranty and Lifetime Expert Tech Support, Apex Kids Electric Scooter, 5mm Allen Wrench, Quick Start Guide",,,229,"SmooSat Apex Electric Scooter for Kids Ages 8+, Bluetooth Music Speaker, 5/8/10 MPH, 60 min Ride Time, Colorful Lights, Adjustable Height, Foldable E-Scooter for Kids and Teens",5.0,,,,,,,,,,,29.33 x 14.57 x 10.16 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Segway,Dark Grey,Adult,"Lightweight, Foldable",220 Pounds,2,ES Series Electric KickScooter,Rubber,,12.5 Kilograms,Adjustable,35 Inches,7.5 Inches,non pneumatic tires,Rear Suspension,,Rear Braking,,3.5 Hours,"40""L x 17""W x 45""H",15.5 Miles,43.4 x 15.4 x 7.2 inches,15.88 Kilograms,Segway,1-year limited warranty,metal plastic and rubber,Unisex and 8 years+,Segway-Ninebot,40.02.0000.60,ES2,charger,Large,,501,"Segway Ninebot ES Series Electric KickScooter- Power by 300W Motor, 28/15.5 Miles Range & 19M/15.5MPH, 8"" Solid Non-Pneumatic Tires, External Battery, Scooter for Adults & Teens",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Evdekoru,,,"Non Slip Deck, Headlights and Taillight, Wide Platform, Foldable, LCD-Display",265 Pounds,2,HT-T4,Rubber,Alloy Steel,28.5 Pounds,,,8.5 Inches,,Rear Suspension,,"Rear Braking, Handbrake, Disc Braking",Limited,,,,,,Evdekoru,Offer 6 months or 12 months warranty for different parts. Provide technical support and fast after-sales service in the United States.,,unisex-adult,"Shenzhen Huopingguo Technology Co., LTD.",HT-T4,,,,,219,"Evdekoru Electric Scooter for Adult, 350W Motor Portable Folding Commuting Scooter for Adults, Up to 19 Mph & 19-21 Miles Long-Range, 8.5''Tires, Double Braking, LED Display E Scooter with App Control",4.5,,,,,,,,,,1,42.9 x 16.9 x 44.8 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Atomi,E20-Black,Adult,"Digital Display, Dual Braking System, Lights, Lightweight, Wide Platform",265 Pounds,2,Atomi E20/ AE85,Rubber,Aluminum,15.8 Kilograms,Fixed,,8.5 Inches,Pneumatic/Air,NO,,Rear Braking,Limited,5 Hours,,19 Miles,43.8 x 22.85 x 7.2 inches,18.35 Kilograms,Atomi,One year,Aluminum,Unisex-adult,Atomi,Atomi AE85,ATOMI E20 Electric Scooter Perfect for Commuting and Trips,,,,399,"Atomi Electric Scooter E20, 500W Motor Electric Scooter with 19 Miles Long Range, 15.6 Mph Speed, Portable Folding Commuting Scooter for Adults with Double Braking System and Smart App",4.6,,,,,,,,,,1,42.52 x 23.23 x 44.88 inches,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Razor,White,Kid,Non Slip Deck,154 Pounds,2,RipStiks,Polyurethane,Alloy Steel,19.3 Kilograms,Adjustable,25 Inches,1 Millimeters,"Solid,Pneumatic",,,Rear Braking,,12 Hours,"37""L x 16""W x 42""H",8 Miles,38.19 x 17.72 x 9.06 inches,20.55 Kilograms,Razor,Manufacturer Warranty,Aluminum,unisex-teen,"Razor USA, LLC",13112485,Standing Ride (E200),Razor Electric Scooters - E200 Electric Scooter WH/RD (Refresh) - ISTA,One Size,Outdoor Lifestyle,224,"Razor E200 Electric Scooter for Kids Ages 13+ - 8"" Pneumatic Tires, 200-Watt Motor, Up to 12 mph and 40 min of Ride Time, for Riders up to 154 lbs",4.4,,,,,,,,,,1,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Razor,Teal,Youth,,154 Pounds,2,E200S,Polyurethane,,20911 Grams,Adjustable,,8 Inches,Pneumatic,Front Suspension,,"Rear Braking, Front Braking",,12 Hours,"94""L x 40""W x 106""H",12 Miles,38 x 17 x 8.75 inches,22.68 Kilograms,Razor,90 Day Warranty,Metal & Plastic,,"Razor USA, LLC",13112745,Seated Ride (E200s),E200S,37 x 16 x 42-Inch,,190,"Razor E200S Electric Scooter for Kids Ages 13+ - 8"" Pneumatic Tires, 200-Watt Motor, Up to 12 mph and 40 min of Ride Time, for Riders up to 154 lbs",4.0,,,,,,,,,,1,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,SMOOSAT,Ink Black,Kids,"Lights, Adjustable Handlebar Height",132 Pounds,2,Pro,Rubber,Aluminum,7.2 Kilograms,Adjustable,36 Inches,6 Inches,Solid,,,Rear Braking,Limited,5 Hours,"29.5""L x 9.8""W x 5.5""H",5 Miles,30.5 x 11.5 x 6.4 inches,7.2 Kilograms,SMOOSAT,180-day warranty,Aluminum,unisex-teen,SMOOSAT,,,"Quick Start Guide, Owner's Manual,Warranty Card, PRO Kids Electric Scooter, Charger, 180-day Warranty and Lifetime Expert Tech Support, 5mm Allen Wrench",,,199,"SmooSat PRO Electric Scooter for Kids Ages 8+, Colorful Rainbow Lights, 5/8/10 MPH, 60 min Ride Time, LED Display, Adjustable Height, Foldable E-Scooter for Kids and Teens, Black",4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Kugookirin,Black,,"Portable, Lights, Foldable",220 Pounds,2,DY8501,Rubber,,28.6 Pounds,,,8.5 Inches,Solid,,,EABS+Disc Braking System,,,,,,,Kugookirin,1 year warranty,Aluminum,unisex-adult,"Dongguan Daoyuan Automobile Co.,Ltd",,,Electric Scooter,,,199,"Electric Scooter for Adults, 350W Commuter Electric Kick Scooter Up to 19 Mph & 19-21Miles Long Range, 8.5"" Solid Tires, Foldable Electric Scooter with Double Braking System and APP",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Gotrax,Pink,Kid,Adjustable Handlebar Height,154 Pounds,2,Gotrax Gks Lumios Electric Scooter Kick For Kids Teens ' Small,Rubber,Aluminum,18.7 Pounds,Adjustable,37 Inches,6 Inches,Solid,Front Suspension,Ergonomic,Rear Braking,Limited,5 Hours,,6.25 Miles,26.69 x 10.04 x 8.9 inches,9.02 Kilograms,Gotrax,365 Days Limited,Aluminum,Unisex-teen,"ZHE JIANG TAOTAO VEHICLES CO.,LTD",GKS LUMIOS,,"Scooter, Charger, User manual",Small,,129,"Gotrax GKS Lumios/Plus Kids Electric Scooter, Max 7.5mph Power by 150W Motor and 60 min Ride Time, 6"" LED Flash Wheel or Deck Lights, Approved UL Certificate for Kids Ages 6-12",4.6,,,,,,,,,,1,33 x 15 x 32 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Caroma,E35-Gray,,"Adjustable Handlebar Height, foldable",132 Pounds,2,,,,,Adjustable,,6 Inches,Solid,,,Rear Braking,,,,,30.5 x 12 x 6.9 inches,16.5 Pounds,Caroma,,,,"Guangdong Qiude Health Technology Co., Limited",,,,,,149,"Caroma Electric Scooter for Kids Ages 8-12, 150W Foldable Kids Electric Ecooter, Max 7 Miles & 10 Mph, LED Display, Colorful Lights, Adjustable Height, Lightweight Electric Scooter for Kids Teens",& FREE Shipping,,,,,,,,,,,32.3 x 15.4 x 36.2 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,IVETA,Black,Adult,Lights,220 Pounds,2,S10,Rubber,,31 Pounds,Adjustable,,10 Inches,Solid,Dual Suspension,,Front Braking,,6 Hours,,18 Miles,43.2 x 21 x 6 inches,15.33 Kilograms,IVETA,60day,Aluminum,Unisex-adult,"Shenzhen Grandpower New Energy Development Co.,Ltd",S10,Electric scooter,"Electric scooter, Tools, Power adapter, User manual",10',,409,"Electric Scooter -10"" Solid Tires,19/25 Miles Range,20Mph Power by 500W Motor,Smart APP and Dual Brake System for Foldable Commuter E-Scooter for Adult",,,,,,,,,,,,5.9 x 42 x 20 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Razor,Glow Black,Kid,"Lights, Adjustable Handlebar Height",120 Pounds,2,RipStiks,Polyurethane,Alloy Steel,26 Pounds,Adjustable,22 Inches,1 Millimeters,"Solid,Pneumatic",Cracker,Ergonomic,Front Braking,90-day Warranty,12 Hours,"33.1""L x 16.1""W x 35.7""H",65 Miles,34 x 17 x 17 inches,15.42 Kilograms,Razor,90 day Limited Manufacturer,Aluminum,Unisex-adult,"Razor USA, LLC",13111231,Scooter,"E100 Glow Scooter, Manual, Charger",One Size,"Camping & Hiking, Outdoor Lifestyle",189,"Razor E100 Glow Electric Scooter for Kids Age 8+, LED Light-Up Deck, 8"" Air-filled Front Tire, Up to 40 Minutes Continuous Ride Time",4.5,,,,,,,,,,1,,2014,,Cracker,Cracker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,5TH WHEEL,Black,Adult,"Digital Display, Dual Braking System, Cruise Control, Foldable, Lockable",264 Pounds,2,ES09,Rubber,Aluminum,32.2 Pounds,Fixed,,10 Inches,Solid,Dual Suspension,Ergonomic,"Front Braking, Rear Braking",Limited,5.5 Hours,"44.5""L x 19.1""W x 47.8""H",19.9 Miles,45.1 x 21 x 7 inches,18.08 Kilograms,5TH WHEEL,1 year,Aluminum,Unisex-adult,"Invanti (Beijing) Technology Co., Ltd.",,V30PRO/19.9 Miles/18 Mph,"User Manual, Electric Scooter, Charger, Tool Kit",5TH WHEEL V30PRO,,399,"5TH WHEEL V30PRO Electric Scooter with Turn Signals - 19.9 Miles Range & 18 MPH, 350W Motor, 10"" Inner-Support Tires, Dual Braking System and Cruise Control, Foldable Electric Scooter for Adults",4.5,Commuting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Mtricscoto,black-A502,Youth,"Lights, Foldable",265 Pounds,2,A5,Rubber,,30.9 pounds,,,9 Inches,Solid,Dual Suspension,,Rear Braking,,,44.25 x 17.32 x 47.83 inches,,,,,NO,,,"Shenzhen LEQI Intelligent Technology Co., Ltd.",,,Electric Scooter,,,449,"Smart Electric Scooter for Adults with Cruise Control System - Max 18.6 Mile Range and 15.5Mph, Auto-Sensing Automatic Headlamps,Headlight & Taillight Foldable E Scooter - A5002",5.0,,,Switzerland,B0CGRJNYYN,,1 Lithium Ion batteries required. (included),"#113,686 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#398 in Sport Scooters","5.0
12 ratings
5.0 out of 5 stars",unisex-teen,,44.25 x 17.32 x 47.83 inches,,,,,Yes,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Caroma,Bright Black-350W,Adult,"Anti-Puncture Tire, Adjustable Handlebar Height, Wide Platform",265 Pounds,2,,Rubber,Aluminum,,Adjustable,45.6 Inches,9 Inches,Solid,Dual Suspension,Ergonomic,"Rear Braking, Front Braking",,5.5 Hours,"44.5""L x 18.5""W x 45.7""H",20 Miles,43.7 x 15.7 x 9.4 inches,42.1 Pounds,Caroma,,Aluminum,unisex-adult,"Guangdong Qiude Health Technology Co., Limited",,,"Adults Electric Scooter, Scooter Charge, Installation Tools",,,259,"Caroma Electric Scooter Adults, 9"" Solid Tires, 350W Motor, 20 Miles Range & 15.5 Mph, Foldable Adult Electric Scooter with Dual Brake System and Cruise Control, E Scooter for Adults, Teens",4.5,Commuting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,iScooter,Black,Adult,"Adjustable Handlebar Height, Dual suspensions, 10 Inches Off Road Pneumatic Tubeless Tires, Smart APP, 800W powerful motor",264 Pounds,2,iX3,10 Inches Off Road Pneumatic Tubeless Tires,,51 Pounds,Adjustable,52.8 Inches,10 Inches,10 Inches Off Road Pneumatic Tires,Front and Rear Suspension,Ergonomic,"Rear Braking, Front Braking","iScooter Warranty At iScooter , the electric scooters come with a One-year for the E-scooter or 180-day for different parts (like the motor and battery) warranty that is non-transferable after the product’s initial sale. iScooter electric scooter offers 7-day no-reason return on condition that there is no human damage and no stains. If shipping damage occurs, please contact us vip.support@iscooterglobal.com and provide us with photo or video proof. iScooter is committed to providing quality items and service.",,"47""L x 18.5""W x 8.5""H",25 Miles,47.25 x 19.25 x 9.75 inches,25.4 Kilograms,iScooter,"iScooter Warranty At iScooter , the electric scooters come with a One-year for the E-scooter or 180-day for different parts (like the motor and battery) warranty that is non-transferable after the product’s initial sale. iScooter electric scooter offers 7-day no-reason return on condition that there is no human damage and no stains. If shipping damage occurs, please contact us vip.support@iscooterglobal.com and provide us with photo or video proof. iScooter is committed to providing quality items and service.",Aluminum,unisex-adult,"WUYI JINYUE ENGINE SCIENCE AND TECHNOLOGY CO.,LTD.",iX3,iX3 Standard,"iX3 Electric scooter, Instruction manual, Charger, Tool kit",,,649,"iScooter Electric Scooter Adult, 800W Motor E-Scooter Up to 25 Miles Range, Top Speed 25MPH, 10"" Off Road Pneumatic Tires, Adjustable Handlebar Height Foldabable Commuting E Scooter for Adults",& FREE Shipping,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,Black,,"Cruise Control, Foldable",,2,m365,Polyurethane,Aluminum,12 Kilograms,,,8.5 Inches,Rubber,,,Rear Braking,Limited,,,,43.31 x 20.47 x 5.91 inches,15 Kilograms,,,Aluminum,,"ANT ZHILIAN (SHENZHEN) CO.,LTD",,,,,,229,"Electric Scooter Adults with Bag 350W Motor 36V/10.4Ah Lithium 8.5"" Tires,Range up to 19 Miles,Portable Folding Commuting Scooter for Adults Dual Braking System and Apps",Total price:,,,,,,,,,,1,41.34 x 17.32 x 45.28 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,Black,,Portable,190 Pounds,2,M8,Plastic,Aluminum，iron，stainless steel,13.63 Kilograms,,,6.5 Inches,Solid,,,Rear Braking,Limited,,,,38.75 x 16.75 x 6.5 inches,13.63 Kilograms,,,Aluminum,,"Wuyi Zeda Electronic Technology Co., Ltd",,"250W 6.5""Tire 13MPH 13MILE",,teenager,,239,"VOBETSCOOTER Electric Scooter,350W Motor,8.5"" Solid Tires, 19 Miles Range, 19Mph Folding Commuter Electric Scooter for Adults Teenagers",3.5,,,,,,,,,,,37.8 x 16.9 x 42.1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,WAYPLUS,Aquas,Teen; Kid; Adult,Lightweight,240 Pounds,2,,,,9 Pounds,Adjustable,38 Inches,8 Inches,Solid,,,,,,,,31.7 x 13.1 x 4.8 inches,5.19 Kilograms,WAYPLUS,,Alloy Steel,,WAYPLUS,,,,,,69,"WAYPLUS Kick Scooter for Ages 6+,Kid, Teens & Adults. Max Load 240 LBS. Foldable, Lightweight, 8IN Big Wheels for Kids, Teen and Adults, 4 Adjustable Levels. Bearing ABEC9",4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,Blue,,,,,ZING E8 Blue,,,8 Kilograms,,,,,,,,,,,,30.6 x 13.3 x 7.5 inches,10.05 Kilograms,Segway,1-year limited warranty,Aluminum,Unisex-teen,"ninebot (Changzhou) Tech Co., Ltd.",E8,Segway Ninebot Kids Scooter,"scooter, charger, accessory box","E8-suggested Height 3'9''-4'9""",,539.,"Segway Ninebot eKickScooter - Electric Kick Scooter for Kids Ages 6-14, Up to 11.2 MPH & 6.2 Miles Range - Equipped with 130W/150W/180W Motor, Includes New Cruise Mode, Suitable for Boys and Girls",Overall it’s very fun,,,,,,,,,,,13.2 x 33.5 x 32.7 inches,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Mtricscoto,Black-A6L04,Youth,"Lights, Foldable",265 Pounds,2,A6001,Rubber,,35.7 pounds,,,9 Inches,Pneumatic,Dual Suspension,,Rear Braking,,,42 x 18 x 48 inches,,,,,NO,,,"Shenzhen LEQI Intelligent Technology Co., Ltd.",,,Electric scooter,,,399,"Smart Electric Scooter with Auto-Dark-Sensing Headlights, Max 15.5 Mile Range and 15.5Mph Speed, Intelligent Cruise Control E-Scooter for Adult, Foldable and Portable APP Control - A6004",,,,China,B0CG5WJDL5,A6L,1 Lithium Ion batteries required. (included),"#238,867 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#706 in Sport Scooters","5.0
28 ratings
5.0 out of 5 stars",Unisex-adult,,42 x 18 x 48 inches,,,,,Yes,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,EVERCROSS,Black,Adult,Lightweight,265 Pounds,2,EV85F,Rubber,,15 Kilograms,Fixed,45.1 Inches,8.5 Inches,Solid,Dual Suspension,,"Front Braking, Rear Braking",,,,19 Miles,44.3 x 21.4 x 6.8 inches,17.19 Kilograms,EVERCROSS,30-Day Limited Replacement Warranty for Manufacturer's Defects,Aluminum,Unisex-adult,"ZHEJIANG KUANTU INDUSTRY AND TRADE CO.,LTD",EV85F,,"L-shape Allen Key, Screws, Charging Adapter",,,399,"EVERCROSS Electric Scooter, Electric Scooter Adults with 350W Motor, Up to 19 MPH & 19 Miles E-Scooter, Lightweight Folding Electric Scooter for Adults with 8.5'' Solid Tires & APP Control",& FREE Shipping,,,,,,,,,,1,42.52 x 18.9 x 44.88 inches,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
